date,home_player,away_player,confidence,ci_interval,target,bet_amt,total_over,hit_rate,last_5,last_10,last_15,last_20,last_25,last_30,over_four,four_rate,slug,home_wins,home_wins_percent,four_round,home_team_1st,home_team_1st_percent,home_team_1st_raw,home_team_spread,home_team_spread_percent,away_team_1st,away_team_1st_percent,away_team_1st_raw,away_team_spread,away_team_spread_percent,score_array,raw_last_5,raw_last_10,raw_last_15,raw_last_20,raw_last_25,raw_last_30,raw_hit_rate,raw_total_over,average_score,confidence_interval,confidence_floor,confidence_ceiling,dataset_array,labels,game_dataset_array,game_totals_array
2025-01-22 03:30PM,"Lamer, Maciej","Nocun, Zbigniew",77.6 ±4.362,[73.2 - 81.9],74.5,0.25u,15 / 30,50.00%,2 / 5,4 / 10,9 / 15,11 / 20,14 / 25,15 / 30,28 / 30,93.33%,22-01-2025-maciej-lamer-zbigniew-nocun,20 / 30,66.67%,0.93,14,46.67%,0.47,3,0.1,16,0.53,0.53,4,0.13,"[50, 66, 71, 77, 89, 72, 95, 89, 51, 69, 77, 77, 99, 99, 79, 67, 91, 74, 75, 68, 92, 72, 72, 88, 83, 74, 73, 72, 71, 95]",2,4,9,11,14,15,0.5,15,77.57,4.36,73.2,81.93,"[{'label': 'Lamer, Maciej', 'data': [17, 37, 35, 39, 44, 42, 44, 46, 18, 38, 43, 43, 50, 50, 43, 36, 40, 35, 41, 40, 47, 35, 41, 41, 41, 37, 37, 42, 40, 52]}, {'label': 'Nocun, Zbigniew', 'data': [33, 29, 36, 38, 45, 30, 51, 43, 33, 31, 34, 34, 49, 49, 36, 31, 51, 39, 34, 28, 45, 37, 31, 47, 42, 37, 36, 30, 31, 43]}]","['2025-01-16 09:30PM', '2025-01-16 03:30PM', '2025-01-15 10:25PM', '2025-01-15 02:20PM', '2025-01-01 12:20AM', '2024-12-31 02:45PM', '2024-12-25 11:05PM', '2024-12-25 05:05PM', '2024-12-24 11:05PM', '2024-12-24 05:05PM', '2024-12-18 11:05PM', '2024-12-18 05:05PM', '2024-12-11 11:05PM', '2024-12-11 05:05PM', '2024-12-04 10:20PM', '2024-12-04 02:20PM', '2024-11-26 10:20PM', '2024-11-26 02:20PM', '2024-11-21 01:05AM', '2024-11-20 04:45PM', '2024-11-19 10:20PM', '2024-11-19 02:20PM', '2024-11-14 10:20PM', '2024-11-14 02:20PM', '2024-11-12 11:05PM', '2024-11-12 05:05PM', '2024-10-30 10:50PM', '2024-10-30 05:05PM', '2024-10-24 10:55PM', '2024-10-24 04:55PM']","[{'label': 'Lamer, Maciej', 'data': [0, 3, 3, 3, 2, 3, 2, 3, 0, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 3, 1, 3, 2, 2, 1, 3, 3, 3, 3]}, {'label': 'Nocun, Zbigniew', 'data': [3, 1, 1, 1, 3, 1, 3, 2, 3, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 3, 1, 3, 3, 3, 1, 1, 1, 2]}]","[3, 4, 4, 4, 5, 4, 5, 5, 3, 4, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5, 5, 4, 4, 4, 4, 5]"
2025-01-22 05:10PM,Tomasz Lojtek,"Fabis, Adrian",86.3 ±3.285,[83.0 - 89.6],74.5,1.75u,28 / 30,93.33%,5 / 5,9 / 10,13 / 15,18 / 20,23 / 25,28 / 30,30 / 30,100.00%,22-01-2025-tomasz-lojtek-adrian-fabis,16 / 30,53.33%,1.0,8,26.67%,0.27,2,0.07,22,0.73,0.73,6,0.2,"[88, 105, 76, 98, 77, 74, 95, 85, 82, 79, 93, 74, 75, 82, 87, 92, 82, 97, 77, 75, 96, 88, 75, 104, 98, 90, 81, 80, 91, 93]",5,9,13,18,23,28,0.93,28,86.3,3.29,83.01,89.59,"[{'label': 'Tomasz Lojtek', 'data': [41, 56, 35, 51, 40, 41, 44, 48, 45, 41, 44, 32, 43, 44, 47, 51, 44, 46, 41, 42, 51, 42, 34, 52, 49, 43, 40, 36, 46, 50]}, {'label': 'Fabis, Adrian', 'data': [47, 49, 41, 47, 37, 33, 51, 37, 37, 38, 49, 42, 32, 38, 40, 41, 38, 51, 36, 33, 45, 46, 41, 52, 49, 47, 41, 44, 45, 43]}]","['2025-01-17 06:45PM', '2025-01-10 10:00PM', '2025-01-10 12:25PM', '2024-12-30 03:35PM', '2024-12-27 11:10PM', '2024-12-27 01:35PM', '2024-12-16 05:10PM', '2024-12-11 05:55PM', '2024-12-09 05:55PM', '2024-11-18 02:50PM', '2024-11-11 04:25PM', '2024-11-06 02:50PM', '2024-10-30 04:25PM', '2024-10-21 12:35PM', '2024-10-07 01:25PM', '2024-10-02 04:10PM', '2024-09-23 04:55PM', '2024-09-18 01:25PM', '2024-09-11 12:35PM', '2024-09-09 04:10PM', '2024-09-04 01:50PM', '2024-09-02 01:50PM', '2024-08-23 09:25PM', '2024-08-23 02:15PM', '2024-08-21 04:55PM', '2024-07-24 04:10PM', '2024-07-20 07:00PM', '2024-07-19 07:50PM', '2024-07-19 04:35PM', '2024-07-12 10:10PM']","[{'label': 'Tomasz Lojtek', 'data': [2, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 2, 3]}, {'label': 'Fabis, Adrian', 'data': [3, 2, 3, 2, 1, 1, 3, 2, 1, 2, 3, 3, 1, 1, 2, 2, 1, 3, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2]}]","[5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 4, 5, 5]"
2025-01-22 09:30PM,"Lamer, Maciej","Nocun, Zbigniew",77.6 ±4.362,[73.2 - 81.9],74.5,0.25u,15 / 30,50.00%,2 / 5,4 / 10,9 / 15,11 / 20,14 / 25,15 / 30,28 / 30,93.33%,23-01-2025-maciej-lamer-zbigniew-nocun,20 / 30,66.67%,0.93,14,46.67%,0.47,3,0.1,16,0.53,0.53,4,0.13,"[50, 66, 71, 77, 89, 72, 95, 89, 51, 69, 77, 77, 99, 99, 79, 67, 91, 74, 75, 68, 92, 72, 72, 88, 83, 74, 73, 72, 71, 95]",2,4,9,11,14,15,0.5,15,77.57,4.36,73.2,81.93,"[{'label': 'Lamer, Maciej', 'data': [17, 37, 35, 39, 44, 42, 44, 46, 18, 38, 43, 43, 50, 50, 43, 36, 40, 35, 41, 40, 47, 35, 41, 41, 41, 37, 37, 42, 40, 52]}, {'label': 'Nocun, Zbigniew', 'data': [33, 29, 36, 38, 45, 30, 51, 43, 33, 31, 34, 34, 49, 49, 36, 31, 51, 39, 34, 28, 45, 37, 31, 47, 42, 37, 36, 30, 31, 43]}]","['2025-01-16 09:30PM', '2025-01-16 03:30PM', '2025-01-15 10:25PM', '2025-01-15 02:20PM', '2025-01-01 12:20AM', '2024-12-31 02:45PM', '2024-12-25 11:05PM', '2024-12-25 05:05PM', '2024-12-24 11:05PM', '2024-12-24 05:05PM', '2024-12-18 11:05PM', '2024-12-18 05:05PM', '2024-12-11 11:05PM', '2024-12-11 05:05PM', '2024-12-04 10:20PM', '2024-12-04 02:20PM', '2024-11-26 10:20PM', '2024-11-26 02:20PM', '2024-11-21 01:05AM', '2024-11-20 04:45PM', '2024-11-19 10:20PM', '2024-11-19 02:20PM', '2024-11-14 10:20PM', '2024-11-14 02:20PM', '2024-11-12 11:05PM', '2024-11-12 05:05PM', '2024-10-30 10:50PM', '2024-10-30 05:05PM', '2024-10-24 10:55PM', '2024-10-24 04:55PM']","[{'label': 'Lamer, Maciej', 'data': [0, 3, 3, 3, 2, 3, 2, 3, 0, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 3, 1, 3, 2, 2, 1, 3, 3, 3, 3]}, {'label': 'Nocun, Zbigniew', 'data': [3, 1, 1, 1, 3, 1, 3, 2, 3, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 3, 1, 3, 3, 3, 1, 1, 1, 2]}]","[3, 4, 4, 4, 5, 4, 5, 5, 3, 4, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5, 5, 4, 4, 4, 4, 5]"
2025-01-22 11:35PM,"Trela, Mateusz",Jakub Grzegorczyk,82.5 ±4.875,[77.6 - 87.3],74.5,0.25u,21 / 30,70.00%,2 / 5,6 / 10,11 / 15,14 / 20,18 / 25,21 / 30,29 / 30,96.67%,23-01-2025-mateusz-trela-jakub-grzegorczyk-,11 / 30,36.67%,0.97,12,40.00%,0.4,3,0.1,18,0.6,0.6,6,0.2,"[76, 72, 98, 70, 74, 76, 78, 105, 70, 100, 100, 93, 79, 100, 79, 47, 98, 66, 103, 96, 76, 76, 72, 93, 82, 66, 91, 72, 87, 79]",2,6,11,14,18,21,0.7,21,82.47,4.87,77.59,87.34,"[{'label': 'Trela, Mateusz', 'data': [34, 34, 52, 27, 35, 41, 34, 52, 42, 49, 50, 48, 35, 52, 44, 14, 48, 30, 47, 44, 34, 42, 30, 48, 39, 39, 50, 30, 42, 34]}, {'label': 'Jakub Grzegorczyk', 'data': [42, 38, 46, 43, 39, 35, 44, 53, 28, 51, 50, 45, 44, 48, 35, 33, 50, 36, 56, 52, 42, 34, 42, 45, 43, 27, 41, 42, 45, 45]}]","['2025-01-21 10:20PM', '2025-01-19 12:15PM', '2025-01-11 11:25AM', '2025-01-09 10:45PM', '2025-01-02 07:05PM', '2025-01-01 09:10PM', '2024-12-30 11:10PM', '2024-12-21 08:50PM', '2024-12-15 12:25AM', '2024-12-13 11:35PM', '2024-12-04 11:10PM', '2024-11-27 11:10PM', '2024-11-27 04:25PM', '2024-11-23 08:50PM', '2024-11-22 08:50PM', '2024-11-21 12:00AM', '2024-11-20 06:45PM', '2024-11-16 08:50PM', '2024-11-09 11:35PM', '2024-10-31 11:35PM', '2024-10-21 10:35PM', '2024-10-16 10:10PM', '2024-10-15 08:35PM', '2024-10-05 09:25PM', '2024-09-23 07:50PM', '2024-09-18 07:50PM', '2024-09-17 10:35PM', '2024-09-17 01:50PM', '2024-09-16 11:45PM', '2024-09-04 07:25PM']","[{'label': 'Trela, Mateusz', 'data': [1, 1, 3, 1, 1, 3, 1, 2, 3, 2, 2, 3, 1, 3, 3, 0, 3, 1, 1, 2, 1, 3, 1, 3, 1, 3, 3, 1, 2, 1]}, {'label': 'Jakub Grzegorczyk', 'data': [3, 3, 2, 3, 3, 1, 3, 3, 1, 3, 3, 2, 3, 2, 1, 3, 2, 3, 3, 3, 3, 1, 3, 2, 3, 1, 2, 3, 3, 3]}]","[4, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5, 5, 4, 5, 4, 3, 5, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5, 4, 5, 4]"
