date,home_player,away_player,confidence,ci_interval,target,bet_amt,total_over,hit_rate,last_5,last_10,last_15,last_20,last_25,last_30,over_four,four_rate,slug,home_wins,home_wins_percent,four_round,home_team_1st,home_team_1st_percent,home_team_1st_raw,home_team_spread,home_team_spread_percent,away_team_1st,away_team_1st_percent,away_team_1st_raw,away_team_spread,away_team_spread_percent,score_array,raw_last_5,raw_last_10,raw_last_15,raw_last_20,raw_last_25,raw_last_30,raw_hit_rate,raw_total_over,average_score,confidence_interval,confidence_floor,confidence_ceiling,dataset_array,labels,game_dataset_array,game_totals_array
2025-01-22 11:30AM,"Wloczko, Krzysztof",Krzysztof Kapik,79.8 ±4.641,[75.2 - 84.5],74.5,1.5u,21 / 30,70.00%,5 / 5,9 / 10,12 / 15,14 / 20,17 / 25,21 / 30,26 / 30,86.67%,22-01-2025-krzysztof-wloczko-krzysztof-kapik-2,15 / 30,50.00%,0.87,13,43.33%,0.43,3,0.1,17,0.57,0.57,5,0.17,"[75, 81, 88, 104, 78, 83, 88, 76, 65, 77, 72, 92, 92, 86, 63, 88, 68, 76, 70, 60, 61, 111, 86, 98, 53, 72, 79, 93, 78, 82]",5,9,12,14,17,21,0.7,21,79.83,4.64,75.19,84.47,"[{'label': 'Wloczko, Krzysztof', 'data': [35, 37, 42, 49, 41, 44, 45, 42, 29, 41, 34, 50, 45, 40, 43, 39, 38, 38, 42, 33, 34, 56, 45, 45, 33, 29, 36, 50, 33, 43]}, {'label': 'Krzysztof Kapik', 'data': [40, 44, 46, 55, 37, 39, 43, 34, 36, 36, 38, 42, 47, 46, 20, 49, 30, 38, 28, 27, 27, 55, 41, 53, 20, 43, 43, 43, 45, 39]}]","['2025-01-21 08:15PM', '2025-01-21 05:50PM', '2025-01-20 07:25PM', '2025-01-20 05:05PM', '2025-01-20 01:25PM', '2025-01-19 09:10PM', '2025-01-19 06:45PM', '2025-01-12 09:35PM', '2025-01-12 07:05PM', '2025-01-09 12:20PM', '2025-01-08 09:05PM', '2025-01-08 06:55PM', '2025-01-07 09:30PM', '2025-01-07 07:00PM', '2025-01-07 03:25PM', '2025-01-06 09:30PM', '2025-01-06 07:00PM', '2024-12-31 10:50AM', '2024-12-30 12:50AM', '2024-12-19 02:20PM', '2024-12-18 04:20PM', '2024-12-17 06:20PM', '2024-12-16 04:40PM', '2024-12-16 04:50AM', '2024-12-12 02:30AM', '2024-12-05 06:05AM', '2024-12-02 01:30PM', '2024-11-21 03:55PM', '2024-11-20 06:20PM', '2024-11-19 01:30PM']","[{'label': 'Wloczko, Krzysztof', 'data': [1, 1, 3, 2, 3, 3, 2, 3, 0, 3, 1, 3, 1, 2, 3, 1, 3, 1, 3, 3, 3, 3, 2, 2, 3, 1, 1, 3, 1, 3]}, {'label': 'Krzysztof Kapik', 'data': [3, 3, 2, 3, 1, 1, 3, 1, 3, 1, 3, 2, 3, 3, 1, 3, 1, 3, 1, 0, 0, 2, 3, 3, 0, 3, 3, 1, 3, 1]}]","[4, 4, 5, 5, 4, 4, 5, 4, 3, 4, 4, 5, 4, 5, 4, 4, 4, 4, 4, 3, 3, 5, 5, 5, 3, 4, 4, 4, 4, 4]"
2025-01-22 02:35PM,"Wloczko, Krzysztof",Krystian Kolodziej,77.2 ±3.852,[73.3 - 81.1],74.5,1u,21 / 30,70.00%,4 / 5,8 / 10,10 / 15,13 / 20,16 / 25,21 / 30,26 / 30,86.67%,22-01-2025-krzysztof-wloczko-krystian-kolodziej,11 / 30,36.67%,0.87,13,43.33%,0.43,4,0.13,17,0.57,0.57,5,0.17,"[79, 80, 77, 56, 86, 81, 84, 75, 87, 56, 57, 66, 79, 90, 74, 72, 97, 59, 81, 78, 92, 71, 75, 75, 73, 75, 80, 76, 86, 99]",4,8,10,13,16,21,0.7,21,77.2,3.85,73.35,81.05,"[{'label': 'Wloczko, Krzysztof', 'data': [44, 39, 35, 23, 41, 43, 38, 34, 42, 23, 34, 36, 41, 45, 31, 32, 53, 26, 42, 36, 48, 32, 39, 33, 40, 37, 42, 35, 41, 46]}, {'label': 'Krystian Kolodziej', 'data': [35, 41, 42, 33, 45, 38, 46, 41, 45, 33, 23, 30, 38, 45, 43, 40, 44, 33, 39, 42, 44, 39, 36, 42, 33, 38, 38, 41, 45, 53]}]","['2025-01-09 01:50PM', '2025-01-05 02:40PM', '2024-12-19 03:30PM', '2024-12-18 05:30PM', '2024-12-17 02:20PM', '2024-12-15 03:15PM', '2024-12-10 05:05PM', '2024-12-09 03:30PM', '2024-12-02 05:55PM', '2024-12-02 12:15PM', '2024-11-20 02:20PM', '2024-11-19 05:30PM', '2024-11-08 05:55PM', '2024-11-08 12:15PM', '2024-10-31 10:50AM', '2024-10-30 07:00AM', '2024-10-28 07:50AM', '2024-10-27 02:00PM', '2024-10-16 11:00AM', '2024-10-15 01:20PM', '2024-10-11 01:45PM', '2024-10-10 02:30PM', '2024-10-03 03:20PM', '2024-09-26 05:40PM', '2024-09-25 12:55PM', '2024-09-05 09:40AM', '2024-09-01 04:10PM', '2024-08-30 02:10PM', '2024-08-28 05:20PM', '2024-08-27 06:05PM']","[{'label': 'Wloczko, Krzysztof', 'data': [3, 1, 1, 0, 2, 3, 2, 1, 2, 0, 3, 3, 3, 2, 1, 1, 3, 0, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 1, 2]}, {'label': 'Krystian Kolodziej', 'data': [1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 1, 1, 3, 3, 3, 2, 3, 1, 3, 2, 3, 1, 3, 1, 3, 1, 3, 3, 3]}]","[4, 4, 4, 3, 5, 4, 5, 4, 5, 3, 3, 4, 4, 5, 4, 4, 5, 3, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5]"
2025-01-22 04:10PM,Krystian Kolodziej,Lukasz Jarocki,81.6 ±4.377,[77.3 - 86.0],74.5,1.5u,23 / 30,76.67%,5 / 5,9 / 10,13 / 15,17 / 20,19 / 25,23 / 30,26 / 30,86.67%,22-01-2025-krystian-kolodziej-lukasz-jarocki,15 / 30,50.00%,0.87,17,56.67%,0.57,6,0.2,13,0.43,0.43,1,0.03,"[81, 96, 83, 87, 75, 85, 91, 56, 92, 83, 87, 91, 95, 82, 66, 77, 59, 90, 87, 88, 66, 73, 75, 62, 78, 101, 78, 90, 67, 108]",5,9,13,17,19,23,0.77,23,81.63,4.38,77.26,86.01,"[{'label': 'Krystian Kolodziej', 'data': [44, 48, 38, 44, 39, 42, 42, 34, 47, 38, 46, 46, 49, 43, 43, 37, 25, 47, 40, 43, 29, 39, 42, 36, 37, 50, 42, 42, 25, 50]}, {'label': 'Lukasz Jarocki', 'data': [37, 48, 45, 43, 36, 43, 49, 22, 45, 45, 41, 45, 46, 39, 23, 40, 34, 43, 47, 45, 37, 34, 33, 26, 41, 51, 36, 48, 42, 58]}]","['2025-01-15 03:45PM', '2025-01-14 01:50PM', '2025-01-13 02:35PM', '2025-01-10 04:10PM', '2025-01-09 11:55AM', '2025-01-08 04:35PM', '2025-01-06 01:00PM', '2025-01-03 04:35PM', '2024-12-20 01:30PM', '2024-12-19 07:05PM', '2024-12-18 06:20PM', '2024-12-14 08:50AM', '2024-12-13 03:10PM', '2024-12-10 03:30PM', '2024-12-09 04:20PM', '2024-12-03 04:15PM', '2024-12-02 04:40PM', '2024-11-29 04:40PM', '2024-11-27 03:55PM', '2024-11-26 04:20PM', '2024-11-24 06:45PM', '2024-11-23 03:15PM', '2024-11-17 04:25PM', '2024-11-14 03:10PM', '2024-11-13 12:15PM', '2024-11-08 01:55PM', '2024-11-08 09:50AM', '2024-10-28 12:15PM', '2024-10-27 06:20PM', '2024-10-26 04:10PM']","[{'label': 'Krystian Kolodziej', 'data': [3, 2, 2, 3, 3, 3, 1, 3, 3, 1, 3, 2, 3, 3, 3, 1, 0, 3, 1, 2, 0, 3, 3, 3, 1, 2, 3, 2, 1, 2]}, {'label': 'Lukasz Jarocki', 'data': [1, 3, 3, 2, 1, 1, 3, 0, 2, 3, 1, 3, 1, 1, 1, 3, 3, 1, 3, 3, 3, 1, 1, 0, 3, 3, 1, 3, 3, 3]}]","[4, 5, 5, 5, 4, 4, 4, 3, 5, 4, 4, 5, 4, 4, 4, 4, 3, 4, 4, 5, 3, 4, 4, 3, 4, 5, 4, 5, 4, 5]"
2025-01-22 04:40PM,"Kowalczyk, Marcin",Piotr Strus,82.1 ±5.337,[76.7 - 87.4],74.5,1.25u,22 / 30,73.33%,4 / 5,8 / 10,12 / 15,16 / 20,19 / 25,22 / 30,25 / 30,83.33%,22-01-2025-marcin-kowalczyk-piotr-strus,11 / 30,36.67%,0.83,16,53.33%,0.53,2,0.07,14,0.47,0.47,3,0.1,"[82, 90, 55, 95, 91, 89, 91, 93, 76, 66, 70, 85, 77, 97, 75, 97, 117, 77, 94, 48, 98, 72, 74, 86, 93, 57, 76, 61, 84, 96]",4,8,12,16,19,22,0.73,22,82.07,5.34,76.73,87.4,"[{'label': 'Kowalczyk, Marcin', 'data': [42, 47, 22, 51, 46, 39, 43, 45, 34, 39, 43, 44, 37, 47, 32, 50, 60, 33, 45, 33, 49, 34, 32, 42, 42, 24, 33, 35, 51, 46]}, {'label': 'Piotr Strus', 'data': [40, 43, 33, 44, 45, 50, 48, 48, 42, 27, 27, 41, 40, 50, 43, 47, 57, 44, 49, 15, 49, 38, 42, 44, 51, 33, 43, 26, 33, 50]}]","['2025-01-20 03:05PM', '2025-01-15 04:40PM', '2025-01-13 06:45PM', '2025-01-09 04:40PM', '2025-01-07 12:45PM', '2024-12-26 02:00PM', '2024-12-19 02:00PM', '2024-12-17 02:00PM', '2024-12-12 02:00PM', '2024-12-10 02:00PM', '2024-12-05 02:00PM', '2024-12-03 03:40PM', '2024-11-28 02:00PM', '2024-11-26 02:00PM', '2024-11-21 02:00PM', '2024-11-19 02:00PM', '2024-11-14 02:00PM', '2024-11-12 02:20PM', '2024-11-07 02:00PM', '2024-11-05 02:00PM', '2024-10-31 02:00PM', '2024-10-29 02:00PM', '2024-10-24 01:00PM', '2024-10-22 01:05PM', '2024-10-17 01:00PM', '2024-10-15 01:00PM', '2024-10-10 01:00PM', '2024-10-03 01:00PM', '2024-10-01 01:00PM', '2024-09-24 01:00PM']","[{'label': 'Kowalczyk, Marcin', 'data': [3, 3, 0, 3, 2, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 2, 3, 1, 2, 3, 3, 1, 1, 2, 2, 0, 1, 3, 3, 1]}, {'label': 'Piotr Strus', 'data': [1, 2, 3, 2, 3, 3, 3, 3, 3, 0, 1, 1, 3, 3, 3, 3, 2, 3, 3, 0, 2, 3, 3, 3, 3, 3, 3, 0, 2, 3]}]","[4, 5, 3, 5, 5, 5, 5, 5, 4, 3, 4, 4, 4, 5, 4, 5, 5, 4, 5, 3, 5, 4, 4, 5, 5, 3, 4, 3, 5, 4]"
2025-01-22 05:10PM,Tomasz Lojtek,"Fabis, Adrian",86.3 ±3.285,[83.0 - 89.6],74.5,1.75u,28 / 30,93.33%,5 / 5,9 / 10,13 / 15,18 / 20,23 / 25,28 / 30,30 / 30,100.00%,22-01-2025-tomasz-lojtek-adrian-fabis,16 / 30,53.33%,1.0,8,26.67%,0.27,2,0.07,22,0.73,0.73,6,0.2,"[88, 105, 76, 98, 77, 74, 95, 85, 82, 79, 93, 74, 75, 82, 87, 92, 82, 97, 77, 75, 96, 88, 75, 104, 98, 90, 81, 80, 91, 93]",5,9,13,18,23,28,0.93,28,86.3,3.29,83.01,89.59,"[{'label': 'Tomasz Lojtek', 'data': [41, 56, 35, 51, 40, 41, 44, 48, 45, 41, 44, 32, 43, 44, 47, 51, 44, 46, 41, 42, 51, 42, 34, 52, 49, 43, 40, 36, 46, 50]}, {'label': 'Fabis, Adrian', 'data': [47, 49, 41, 47, 37, 33, 51, 37, 37, 38, 49, 42, 32, 38, 40, 41, 38, 51, 36, 33, 45, 46, 41, 52, 49, 47, 41, 44, 45, 43]}]","['2025-01-17 06:45PM', '2025-01-10 10:00PM', '2025-01-10 12:25PM', '2024-12-30 03:35PM', '2024-12-27 11:10PM', '2024-12-27 01:35PM', '2024-12-16 05:10PM', '2024-12-11 05:55PM', '2024-12-09 05:55PM', '2024-11-18 02:50PM', '2024-11-11 04:25PM', '2024-11-06 02:50PM', '2024-10-30 04:25PM', '2024-10-21 12:35PM', '2024-10-07 01:25PM', '2024-10-02 04:10PM', '2024-09-23 04:55PM', '2024-09-18 01:25PM', '2024-09-11 12:35PM', '2024-09-09 04:10PM', '2024-09-04 01:50PM', '2024-09-02 01:50PM', '2024-08-23 09:25PM', '2024-08-23 02:15PM', '2024-08-21 04:55PM', '2024-07-24 04:10PM', '2024-07-20 07:00PM', '2024-07-19 07:50PM', '2024-07-19 04:35PM', '2024-07-12 10:10PM']","[{'label': 'Tomasz Lojtek', 'data': [2, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 1, 2, 2, 2, 1, 1, 2, 3]}, {'label': 'Fabis, Adrian', 'data': [3, 2, 3, 2, 1, 1, 3, 2, 1, 2, 3, 3, 1, 1, 2, 2, 1, 3, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2]}]","[5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 4, 5, 5]"
