date,home_player,away_player,confidence,ci_interval,target,bet_amt,total_over,hit_rate,last_5,last_10,last_15,last_20,last_25,last_30,over_four,four_rate,slug,home_wins,home_wins_percent,four_round,home_team_1st,home_team_1st_percent,home_team_1st_raw,home_team_spread,home_team_spread_percent,away_team_1st,away_team_1st_percent,away_team_1st_raw,away_team_spread,away_team_spread_percent,score_array,raw_last_5,raw_last_10,raw_last_15,raw_last_20,raw_last_25,raw_last_30,raw_hit_rate,raw_total_over,average_score,confidence_interval,confidence_floor,confidence_ceiling,dataset_array,labels,game_dataset_array,game_totals_array
2025-01-22 03:40PM,Maciej Sinitsky,Grzegorz Poliniewicz,59.6 ±8.543,[51.1 - 68.2],74.5,0.25u,1 / 8,12.50%,1 / 5,1 / 8,XXX,XXX,XXX,XXX,2 / 8,25.00%,22-01-2025-maciej-sinitsky-grzegorz-poliniewicz,0 / 8,0.00%,0.25,1,12.50%,0.12,1,0.12,7,0.88,0.88,7,0.88,"[59, 45, 48, 85, 56, 51, 71, 62]",1,1,1,1,1,1,0.12,1,59.62,8.54,51.08,68.17,"[{'label': 'Maciej Sinitsky', 'data': [24, 12, 15, 38, 22, 18, 30, 27]}, {'label': 'Grzegorz Poliniewicz', 'data': [35, 33, 33, 47, 34, 33, 41, 35]}]","['2025-01-16 08:35PM', '2025-01-16 06:10PM', '2025-01-16 02:10PM', '2024-03-30 12:40PM', '2023-11-19 10:20AM', '2023-10-28 11:50AM', '2023-10-08 07:45AM', '2023-08-11 10:00PM']","[{'label': 'Maciej Sinitsky', 'data': [0, 0, 0, 2, 0, 0, 1, 0]}, {'label': 'Grzegorz Poliniewicz', 'data': [3, 3, 3, 3, 3, 3, 3, 3]}]","[3, 3, 3, 5, 3, 3, 4, 3]"
2025-01-22 06:55PM,Maciej Sinitsky,Grzegorz Poliniewicz,59.6 ±8.543,[51.1 - 68.2],74.5,0.25u,1 / 8,12.50%,1 / 5,1 / 8,XXX,XXX,XXX,XXX,2 / 8,25.00%,22-01-2025-maciej-sinitsky-grzegorz-poliniewicz-1,0 / 8,0.00%,0.25,1,12.50%,0.12,1,0.12,7,0.88,0.88,7,0.88,"[59, 45, 48, 85, 56, 51, 71, 62]",1,1,1,1,1,1,0.12,1,59.62,8.54,51.08,68.17,"[{'label': 'Maciej Sinitsky', 'data': [24, 12, 15, 38, 22, 18, 30, 27]}, {'label': 'Grzegorz Poliniewicz', 'data': [35, 33, 33, 47, 34, 33, 41, 35]}]","['2025-01-16 08:35PM', '2025-01-16 06:10PM', '2025-01-16 02:10PM', '2024-03-30 12:40PM', '2023-11-19 10:20AM', '2023-10-28 11:50AM', '2023-10-08 07:45AM', '2023-08-11 10:00PM']","[{'label': 'Maciej Sinitsky', 'data': [0, 0, 0, 2, 0, 0, 1, 0]}, {'label': 'Grzegorz Poliniewicz', 'data': [3, 3, 3, 3, 3, 3, 3, 3]}]","[3, 3, 3, 5, 3, 3, 4, 3]"
2025-01-22 09:25PM,Maciej Sinitsky,Grzegorz Poliniewicz,59.6 ±8.543,[51.1 - 68.2],74.5,0.25u,1 / 8,12.50%,1 / 5,1 / 8,XXX,XXX,XXX,XXX,2 / 8,25.00%,23-01-2025-maciej-sinitsky-grzegorz-poliniewicz,0 / 8,0.00%,0.25,1,12.50%,0.12,1,0.12,7,0.88,0.88,7,0.88,"[59, 45, 48, 85, 56, 51, 71, 62]",1,1,1,1,1,1,0.12,1,59.62,8.54,51.08,68.17,"[{'label': 'Maciej Sinitsky', 'data': [24, 12, 15, 38, 22, 18, 30, 27]}, {'label': 'Grzegorz Poliniewicz', 'data': [35, 33, 33, 47, 34, 33, 41, 35]}]","['2025-01-16 08:35PM', '2025-01-16 06:10PM', '2025-01-16 02:10PM', '2024-03-30 12:40PM', '2023-11-19 10:20AM', '2023-10-28 11:50AM', '2023-10-08 07:45AM', '2023-08-11 10:00PM']","[{'label': 'Maciej Sinitsky', 'data': [0, 0, 0, 2, 0, 0, 1, 0]}, {'label': 'Grzegorz Poliniewicz', 'data': [3, 3, 3, 3, 3, 3, 3, 3]}]","[3, 3, 3, 5, 3, 3, 4, 3]"
