date,home_player,away_player,confidence,ci_interval,target,bet_amt,total_over,hit_rate,last_5,last_10,last_15,last_20,last_25,last_30,over_four,four_rate,slug,home_wins,home_wins_percent,four_round,home_team_1st,home_team_1st_percent,home_team_1st_raw,home_team_spread,home_team_spread_percent,away_team_1st,away_team_1st_percent,away_team_1st_raw,away_team_spread,away_team_spread_percent,score_array,raw_last_5,raw_last_10,raw_last_15,raw_last_20,raw_last_25,raw_last_30,raw_hit_rate,raw_total_over,average_score,confidence_interval,confidence_floor,confidence_ceiling,dataset_array,labels,game_dataset_array,game_totals_array
2025-01-22 07:30AM,Lukasz Oracz,Jakub Pruszkowski,74.3 ±8.991,[65.3 - 83.3],74.5,0.25u,7 / 11,63.64%,4 / 5,7 / 10,7 / 11,XXX,XXX,XXX,9 / 11,81.82%,22-01-2025-lukasz-oracz-jakub-pruszkowski-1,2 / 11,18.18%,0.82,2,18.18%,0.18,2,0.18,9,0.82,0.82,6,0.55,"[77, 92, 83, 66, 81, 43, 100, 57, 77, 76, 65]",4,7,7,7,7,7,0.64,7,74.27,8.99,65.28,83.26,"[{'label': 'Lukasz Oracz', 'data': [42, 42, 38, 30, 37, 10, 47, 23, 34, 32, 42]}, {'label': 'Jakub Pruszkowski', 'data': [35, 50, 45, 36, 44, 33, 53, 34, 43, 44, 23]}]","['2025-01-22 03:10AM', '2024-10-09 08:30AM', '2024-10-09 02:30AM', '2024-08-15 10:30AM', '2024-08-15 04:30AM', '2024-07-22 11:40PM', '2023-07-02 06:05AM', '2023-06-26 10:35AM', '2023-06-26 08:35AM', '2023-06-18 08:05AM', '2023-05-31 10:05AM']","[{'label': 'Lukasz Oracz', 'data': [3, 2, 1, 1, 1, 0, 2, 0, 1, 1, 3]}, {'label': 'Jakub Pruszkowski', 'data': [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]}]","[4, 5, 4, 4, 4, 3, 5, 3, 4, 4, 4]"
2025-01-22 08:25AM,Daniel Lis,Maksymilian Miastowski,77.3 ±9.245,[68.0 - 86.5],74.5,0.25u,6 / 11,54.55%,4 / 5,6 / 10,6 / 11,XXX,XXX,XXX,8 / 11,72.73%,22-01-2025-daniel-lis-maksymilian-miastowski,5 / 11,45.45%,0.73,2,18.18%,0.18,1,0.09,9,0.82,0.82,6,0.55,"[104, 75, 75, 57, 90, 95, 60, 93, 74, 72, 55]",4,6,6,6,6,6,0.55,6,77.27,9.25,68.03,86.52,"[{'label': 'Daniel Lis', 'data': [53, 42, 34, 36, 45, 46, 26, 46, 41, 29, 19]}, {'label': 'Maksymilian Miastowski', 'data': [51, 33, 41, 21, 45, 49, 34, 47, 33, 43, 36]}]","['2024-06-21 10:50AM', '2024-06-21 05:25AM', '2024-06-12 01:30AM', '2024-06-11 09:15AM', '2024-06-11 01:55AM', '2024-06-10 08:25AM', '2024-04-16 10:35AM', '2024-04-16 02:35AM', '2024-01-23 02:00PM', '2023-04-25 02:20AM', '2022-06-23 01:15AM']","[{'label': 'Daniel Lis', 'data': [3, 3, 1, 3, 2, 3, 0, 2, 3, 1, 0]}, {'label': 'Maksymilian Miastowski', 'data': [2, 1, 3, 0, 3, 2, 3, 3, 1, 3, 3]}]","[5, 4, 4, 3, 5, 5, 3, 5, 4, 4, 3]"
2025-01-22 05:30PM,Jakub Witkowski,Kacper Petas,65.8 ±6.410,[59.4 - 72.2],74.5,0.25u,4 / 18,22.22%,1 / 5,3 / 10,4 / 15,4 / 18,XXX,XXX,9 / 18,50.00%,22-01-2025-jakub-witkowski-kacper-petas,14 / 18,77.78%,0.5,15,83.33%,0.83,6,0.33,3,0.17,0.17,3,0.17,"[60, 77, 50, 56, 70, 73, 53, 93, 83, 74, 73, 88, 49, 54, 47, 51, 73, 60]",1,3,4,4,4,4,0.22,4,65.78,6.41,59.37,72.19,"[{'label': 'Jakub Witkowski', 'data': [36, 44, 33, 23, 39, 40, 20, 42, 47, 42, 43, 46, 33, 33, 33, 33, 34, 33]}, {'label': 'Kacper Petas', 'data': [24, 33, 17, 33, 31, 33, 33, 51, 36, 32, 30, 42, 16, 21, 14, 18, 39, 27]}]","['2024-10-08 07:40AM', '2024-10-08 04:15AM', '2024-10-07 10:25AM', '2024-10-07 04:40AM', '2024-07-10 10:00AM', '2024-07-10 01:55AM', '2024-07-09 01:05AM', '2024-07-08 06:50AM', '2024-07-08 04:15AM', '2024-04-24 12:15AM', '2024-03-05 07:35PM', '2024-03-05 04:00PM', '2024-03-04 09:35PM', '2024-03-04 01:10PM', '2023-09-20 11:45PM', '2023-09-20 02:15PM', '2023-08-05 07:00PM', '2023-08-04 07:25PM']","[{'label': 'Jakub Witkowski', 'data': [3, 3, 3, 0, 3, 3, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3]}, {'label': 'Kacper Petas', 'data': [0, 1, 0, 3, 1, 1, 3, 3, 1, 1, 1, 2, 0, 0, 0, 0, 3, 0]}]","[3, 4, 3, 3, 4, 4, 3, 5, 4, 4, 4, 5, 3, 3, 3, 3, 4, 3]"
2025-01-22 07:50PM,Jakub Witkowski,Kacper Petas,65.8 ±6.410,[59.4 - 72.2],74.5,0.25u,4 / 18,22.22%,1 / 5,3 / 10,4 / 15,4 / 18,XXX,XXX,9 / 18,50.00%,23-01-2025-jakub-witkowski-kacper-petas-1,14 / 18,77.78%,0.5,15,83.33%,0.83,6,0.33,3,0.17,0.17,3,0.17,"[60, 77, 50, 56, 70, 73, 53, 93, 83, 74, 73, 88, 49, 54, 47, 51, 73, 60]",1,3,4,4,4,4,0.22,4,65.78,6.41,59.37,72.19,"[{'label': 'Jakub Witkowski', 'data': [36, 44, 33, 23, 39, 40, 20, 42, 47, 42, 43, 46, 33, 33, 33, 33, 34, 33]}, {'label': 'Kacper Petas', 'data': [24, 33, 17, 33, 31, 33, 33, 51, 36, 32, 30, 42, 16, 21, 14, 18, 39, 27]}]","['2024-10-08 07:40AM', '2024-10-08 04:15AM', '2024-10-07 10:25AM', '2024-10-07 04:40AM', '2024-07-10 10:00AM', '2024-07-10 01:55AM', '2024-07-09 01:05AM', '2024-07-08 06:50AM', '2024-07-08 04:15AM', '2024-04-24 12:15AM', '2024-03-05 07:35PM', '2024-03-05 04:00PM', '2024-03-04 09:35PM', '2024-03-04 01:10PM', '2023-09-20 11:45PM', '2023-09-20 02:15PM', '2023-08-05 07:00PM', '2023-08-04 07:25PM']","[{'label': 'Jakub Witkowski', 'data': [3, 3, 3, 0, 3, 3, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3]}, {'label': 'Kacper Petas', 'data': [0, 1, 0, 3, 1, 1, 3, 3, 1, 1, 1, 2, 0, 0, 0, 0, 3, 0]}]","[3, 4, 3, 3, 4, 4, 3, 5, 4, 4, 4, 5, 3, 3, 3, 3, 4, 3]"
